Data ID,Pyroxene NBPP22
Sample ID,NBPP22
Mineral Name,pyroxene
Sample Description,
Date Added,
Viewing Geometry,
Other Information,
Grain Size,
Database of Origin,MICA Files (USGS/RELAB)
Wavelength,Response
300.0,0.03545499965548515
305.0,0.03553299978375435
310.0,0.03912099823355675
315.0,0.03680500015616417
320.0,0.039709001779556274
325.0,0.041898999363183975
330.0,0.04371799901127815
335.0,0.045451998710632324
340.0,0.04781400039792061
345.0,0.052111998200416565
350.0,0.05700499936938286
355.0,0.06168600171804428
360.0,0.06704799830913544
365.0,0.07252799719572067
370.0,0.07820399850606918
375.0,0.08249200135469437
380.0,0.0868540033698082
385.0,0.09107500314712524
390.0,0.09550300240516663
395.0,0.09955199807882309
400.0,0.10502800345420837
405.0,0.10797099769115448
410.0,0.11189699918031693
415.0,0.11517699807882309
420.0,0.118476003408432
425.0,0.12057799845933914
430.0,0.12224099785089493
435.0,0.12348400056362152
440.0,0.12372899800539017
445.0,0.12359300255775452
450.0,0.12563200294971466
455.0,0.12835200130939484
460.0,0.13171499967575073
465.0,0.135220006108284
470.0,0.1387840062379837
475.0,0.14209899306297302
480.0,0.14579400420188904
485.0,0.14941099286079407
490.0,0.15306100249290466
495.0,0.15713100135326385
500.0,0.161654993891716
505.0,0.1662060022354126
510.0,0.1702979952096939
515.0,0.17600099742412567
520.0,0.18091000616550446
525.0,0.18488499522209167
530.0,0.1888969987630844
535.0,0.190993994474411
540.0,0.19300399720668793
545.0,0.19537900388240814
550.0,0.19706900417804718
555.0,0.19911600649356842
560.0,0.20056700706481934
565.0,0.201431006193161
570.0,0.20191599428653717
575.0,0.20154599845409393
580.0,0.20106400549411774
585.0,0.19987399876117706
590.0,0.1983110010623932
595.0,0.19673900306224823
600.0,0.19487899541854858
605.0,0.19270500540733337
610.0,0.19076399505138397
615.0,0.18917900323867798
620.0,0.18763600289821625
625.0,0.18618600070476532
630.0,0.18484200537204742
635.0,0.1842229962348938
640.0,0.18403099477291107
645.0,0.18408800661563873
650.0,0.1846269965171814
655.0,0.18490000069141388
660.0,0.1857600063085556
665.0,0.18613600730895996
670.0,0.18712100386619568
675.0,0.18869799375534058
680.0,0.1911650002002716
685.0,0.1919350028038025
690.0,0.19198699295520782
695.0,0.19329899549484253
700.0,0.1946060061454773
705.0,0.19664199650287628
710.0,0.19944100081920624
715.0,0.2021690011024475
720.0,0.20420999825000763
725.0,0.2058670073747635
730.0,0.2071869969367981
735.0,0.20855200290679932
740.0,0.21004599332809448
745.0,0.21160900592803955
750.0,0.21291600167751312
755.0,0.21440400183200836
760.0,0.21579299867153168
765.0,0.2175150066614151
770.0,0.21901699900627136
775.0,0.21975800395011902
780.0,0.22105899453163147
785.0,0.22288499772548676
790.0,0.22514399886131287
795.0,0.22662800550460815
800.0,0.2284809947013855
805.0,0.2311220020055771
810.0,0.23323200643062592
815.0,0.23522000014781952
820.0,0.23725099861621857
825.0,0.2389950007200241
830.0,0.24000400304794312
835.0,0.24227799475193024
840.0,0.24347899854183197
845.0,0.2441360056400299
850.0,0.2441139966249466
855.0,0.2442220002412796
860.0,0.24297699332237244
865.0,0.24160900712013245
870.0,0.23960499465465546
875.0,0.23661400377750397
880.0,0.23381200432777405
885.0,0.22941400110721588
890.0,0.22605900466442108
895.0,0.22231300175189972
900.0,0.2173759937286377
905.0,0.2130959928035736
910.0,0.2083979994058609
915.0,0.20365600287914276
920.0,0.19774800539016724
925.0,0.19306600093841553
930.0,0.1870030015707016
935.0,0.18252800405025482
940.0,0.17776499688625336
945.0,0.17315800487995148
950.0,0.168163001537323
955.0,0.1642789989709854
960.0,0.1602810025215149
965.0,0.15697099268436432
970.0,0.1534940004348755
975.0,0.15088100731372833
980.0,0.14812399446964264
985.0,0.14583300054073334
990.0,0.14364899694919586
995.0,0.14184600114822388
1000.0,0.1405709981918335
1004.9999999999999,0.13966000080108643
1010.0,0.1394360065460205
1014.9999999999999,0.13891799747943878
1020.0,0.13909000158309937
1025.0,0.1394840031862259
1030.0,0.13988199830055237
1035.0,0.14107100665569305
1040.0,0.14231300354003906
1045.0,0.14393199980258942
