Data ID,H2O-Ice GDS136 77K
Sample ID,GDS136
Mineral Name,h2o-ice
Sample Description,
Date Added,
Viewing Geometry,
Other Information,
Grain Size,
Database of Origin,MICA Files (USGS/RELAB)
Wavelength,Response
300.0,
305.0,
310.0,
315.0,
320.0,
325.0,
330.0,
335.0,
340.0,
345.0,
350.0,
355.0,
360.0,
365.0,
370.0,
375.0,
380.0,
385.0,
390.0,
395.0,
400.0,
405.0,
410.0,
415.0,
420.0,
425.0,
430.0,
435.0,
440.0,
445.0,
450.0,
455.0,
460.0,
465.0,
470.0,
475.0,
480.0,
485.0,
490.0,
495.0,
500.0,
505.0,
510.0,
515.0,
520.0,
525.0,
530.0,
535.0,
540.0,
545.0,
550.0,
555.0,
560.0,
565.0,
570.0,
575.0,
580.0,
585.0,
590.0,
595.0,
600.0,
605.0,
610.0,
615.0,
620.0,
625.0,
630.0,
635.0,
640.0,
645.0,
650.0,
655.0,
660.0,
665.0,
670.0,
675.0,
680.0,
685.0,
690.0,
695.0,
700.0,
705.0,
710.0,
715.0,
720.0,
725.0,
730.0,
735.0,
740.0,
745.0,
750.0,
755.0,
760.0,
765.0,
770.0,
775.0,
780.0,
785.0,
790.0,
795.0,
800.0,
805.0,
810.0,
815.0,
820.0,
825.0,
830.0,
835.0,
840.0,
845.0,
850.0,
855.0,0.39961734414100647
860.0,0.7980867028236389
865.0,0.7923468351364136
870.0,0.7866069078445435
875.0,0.7846291065216064
880.0,0.7835918664932251
885.0,0.7814316749572754
890.0,0.7775871753692627
895.0,0.774454653263092
900.0,0.7741703391075134
905.0,0.773731529712677
910.0,0.7726747393608093
915.0,0.7720542550086975
920.0,0.7731788754463196
925.0,0.7737656831741333
930.0,0.7722010016441345
935.0,0.7711888551712036
940.0,0.771005392074585
945.0,0.7680131793022156
950.0,0.7659589648246765
955.0,0.7704652547836304
960.0,0.7699977159500122
965.0,0.7662719488143921
970.0,0.7627776861190796
975.0,0.7611309885978699
980.0,0.7542070746421814
985.0,0.7443470358848572
990.0,0.7342506051063538
995.0,0.7256044149398804
1000.0,0.7177103757858276
1004.9999999999999,0.7073561549186707
1010.0,0.6983363032341003
1014.9999999999999,0.6878085136413574
1020.0,0.6782443523406982
1025.0,0.6716940999031067
1030.0,0.6656414866447449
1035.0,0.6619653701782227
1040.0,0.6591641902923584
1045.0,0.6597290635108948
1050.0,0.6602731347084045
1055.0,0.6623015999794006
1060.0,0.6673756241798401
1065.0,0.6769817471504211
1070.0,0.6870039701461792
1075.0,0.6934143304824829
1080.0,0.7008704543113708
1085.0,0.7039302587509155
1090.0,0.704398512840271
1095.0,0.704041600227356
1100.0,0.7028745412826538
1105.0,0.700003981590271
1110.0,0.6983273029327393
1115.0,0.6964650750160217
1120.0,0.6938086748123169
1125.0,0.6909666061401367
1130.0,0.6867662668228149
1135.0,0.685674250125885
1140.0,0.6855380535125732
1145.0,0.6806405782699585
1150.0,0.6752526164054871
1155.0,0.6698549389839172
1160.0,0.6625155806541443
1165.0,0.6528336405754089
1170.0,0.6413914561271667
1175.0,0.6282353401184082
1180.0,0.6126502156257629
1185.0,0.5988247990608215
1190.0,0.5842153429985046
1195.0,0.569019615650177
1200.0,0.5548059940338135
1205.0,0.5397508144378662
1210.0,0.5259695649147034
1215.0,0.5132116079330444
1220.0,0.5010074377059937
1225.0,0.49087414145469666
1230.0,0.4805179834365845
1235.0,0.47316062450408936
1240.0,0.46604809165000916
1245.0,0.4593084156513214
1250.0,0.45293915271759033
1255.0,0.44888797402381897
1260.0,0.4448314607143402
1265.0,0.44334089756011963
1270.0,0.44293496012687683
1275.0,0.44320476055145264
1280.0,0.44497624039649963
1285.0,0.44572022557258606
1290.0,0.4451915919780731
1295.0,0.44431203603744507
1300.0,0.44317734241485596
1305.0,0.44323185086250305
1310.0,0.4478667080402374
1315.0,0.45504531264305115
1320.0,0.46320846676826477
1325.0,0.47000059485435486
1330.0,0.4731299877166748
1335.0,0.47686439752578735
1340.0,0.47993823885917664
1345.0,0.48076316714286804
1350.0,0.48090076446533203
1355.0,0.48006126284599304
1360.0,0.4812130928039551
1365.0,0.4801836609840393
1370.0,0.4765413701534271
1375.0,0.4732877016067505
1380.0,0.4691067636013031
1385.0,0.46678686141967773
