Sample ID,4_Watchet_Bay_00001
Species,4_Watchet_Bay
Subgroup,4_Watchet_Bay
Group,4_Watchet_Bay
Library,EXM_MRS
Sample Description,Sample 4
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
350.0,0.225348
351.0,0.224997
352.0,0.224861
353.0,0.224779
354.0,0.224679
355.0,0.22447299999999998
356.0,0.224128
357.0,0.223679
358.0,0.223195
359.0,0.222822
360.0,0.22253599999999998
361.0,0.222006
362.0,0.221533
363.0,0.22123400000000001
364.0,0.221052
365.0,0.220991
366.0,0.221044
367.0,0.22124500000000002
368.0,0.221536
369.0,0.22183599999999998
370.0,0.222197
371.0,0.222568
372.0,0.22279900000000002
373.0,0.22314699999999998
374.0,0.223609
375.0,0.22395199999999998
376.0,0.224143
377.0,0.224175
378.0,0.224211
379.0,0.224299
380.0,0.224486
381.0,0.22454000000000002
382.0,0.224623
383.0,0.224947
384.0,0.225352
385.0,0.225834
386.0,0.22639800000000002
387.0,0.227023
388.0,0.227697
389.0,0.22835999999999998
390.0,0.229084
391.0,0.229898
392.0,0.230849
393.0,0.231758
394.0,0.232562
395.0,0.23352799999999999
396.0,0.23453700000000002
397.0,0.235509
398.0,0.23628
399.0,0.236906
400.0,0.237482
401.0,0.237818
402.0,0.237946
403.0,0.237957
404.0,0.238048
405.0,0.238232
406.0,0.23848
407.0,0.23884899999999998
408.0,0.23933
409.0,0.239808
410.0,0.240452
411.0,0.241302
412.0,0.242087
413.0,0.242804
414.0,0.243428
415.0,0.24404399999999998
416.0,0.24462599999999998
417.0,0.24514399999999997
418.0,0.245752
419.0,0.246418
420.0,0.247105
421.0,0.24775
422.0,0.248338
423.0,0.24883299999999997
424.0,0.24935400000000002
425.0,0.249909
426.0,0.250487
427.0,0.251144
428.0,0.251892
429.0,0.252729
430.0,0.253585
431.0,0.254446
432.0,0.255358
433.0,0.256195
434.0,0.25690799999999997
435.0,0.25759
436.0,0.258266
437.0,0.258958
438.0,0.259628
439.0,0.260288
440.0,0.260947
441.0,0.261629
442.0,0.26229199999999997
443.0,0.262895
444.0,0.26342099999999996
445.0,0.263903
446.0,0.264377
447.0,0.26499
448.0,0.26569299999999996
449.0,0.266418
450.0,0.267142
451.0,0.267822
452.0,0.268335
453.0,0.269064
454.0,0.269924
455.0,0.270629
456.0,0.271357
457.0,0.272087
458.0,0.272693
459.0,0.27334800000000004
460.0,0.274079
461.0,0.274817
462.0,0.275559
463.0,0.276295
464.0,0.276983
465.0,0.277717
466.0,0.278486
467.0,0.279167
468.0,0.27977599999999997
469.0,0.280335
470.0,0.280962
471.0,0.281613
472.0,0.282279
473.0,0.283019
474.0,0.283771
475.0,0.284481
476.0,0.28485099999999997
477.0,0.285305
478.0,0.285998
479.0,0.28665199999999996
480.0,0.287368
481.0,0.288156
482.0,0.288795
483.0,0.289379
484.0,0.289939
485.0,0.290457
486.0,0.290996
487.0,0.291576
488.0,0.292097
489.0,0.292603
490.0,0.293108
491.0,0.293617
492.0,0.29404
493.0,0.29435500000000003
494.0,0.294785
495.0,0.295215
496.0,0.295616
497.0,0.296115
498.0,0.296645
499.0,0.297178
500.0,0.297684
501.0,0.298199
502.0,0.298731
503.0,0.299233
504.0,0.29973700000000003
505.0,0.300256
506.0,0.30078900000000003
507.0,0.301299
508.0,0.301781
509.0,0.302244
510.0,0.30267700000000003
511.0,0.303085
512.0,0.30351
513.0,0.303886
514.0,0.304221
515.0,0.304617
516.0,0.304991
517.0,0.305366
518.0,0.30584
519.0,0.306208
520.0,0.30651
521.0,0.306884
522.0,0.307286
523.0,0.307704
524.0,0.30811499999999997
525.0,0.30855499999999997
526.0,0.308994
527.0,0.30939099999999997
528.0,0.3098
529.0,0.310218
530.0,0.310641
531.0,0.311053
532.0,0.311442
533.0,0.311799
534.0,0.31217
535.0,0.312572
536.0,0.313019
537.0,0.313478
538.0,0.313857
539.0,0.314126
540.0,0.314444
541.0,0.314805
542.0,0.315201
543.0,0.315574
544.0,0.316015
545.0,0.316502
546.0,0.316894
547.0,0.317302
548.0,0.317731
549.0,0.31818
550.0,0.318528
551.0,0.318855
552.0,0.319273
553.0,0.319736
554.0,0.320189
555.0,0.32059
556.0,0.320989
557.0,0.32135800000000003
558.0,0.321685
559.0,0.322003
560.0,0.32231099999999996
561.0,0.32262500000000005
562.0,0.323008
563.0,0.32337899999999997
564.0,0.32374600000000003
565.0,0.324168
566.0,0.324518
567.0,0.32482799999999995
568.0,0.32518500000000006
569.0,0.325509
570.0,0.325818
571.0,0.326134
572.0,0.326426
573.0,0.326688
574.0,0.326923
575.0,0.327211
