,10_Otago_00001 10_otago.,10_Otago_00002 10_otago.,10_Otago_00003 10_otago.,10_Otago_00004 10_otago.,11_Iceland_00001 11_iceland.,11_Iceland_00002 11_iceland.,11_Iceland_00003 11_iceland.,11_Iceland_00004 11_iceland.,15_Oxia_Sophia_00001 15_oxia_sophia.,15_Oxia_Sophia_00002 15_oxia_sophia.,15_Oxia_Sophia_00003 15_oxia_sophia.,15_Oxia_Sophia_00004 15_oxia_sophia.,2_Atacama_Red_00001 2_atacama_red.,2_Atacama_Red_00002 2_atacama_red.,2_Atacama_Red_00003 2_atacama_red.,2_Atacama_Red_00004 2_atacama_red.,3_Sabtha_00001 3_sabtha.,3_Sabtha_00002 3_sabtha.,3_Sabtha_00003 3_sabtha.,3_Sabtha_00004 3_sabtha.,4_Watchet_Bay_00001 4_watchet_bay.,4_Watchet_Bay_00002 4_watchet_bay.,4_Watchet_Bay_00003 4_watchet_bay.,4_Watchet_Bay_00004 4_watchet_bay.,4_Watchet_Bay_00005 4_watchet_bay.,4_Watchet_Bay_00006 4_watchet_bay.,5_Granby_00001 5_granby.,5_Granby_00002 5_granby.,5_Granby_00003 5_granby.,5_Granby_00004 5_granby.,6_Hydrothermal_Clay_00001 6_hydrothermal_clay.,6_Hydrothermal_Clay_00002 6_hydrothermal_clay.,6_Hydrothermal_Clay_00003 6_hydrothermal_clay.,6_Hydrothermal_Clay_00004 6_hydrothermal_clay.,7_Oxia_Teresa_00001 7_oxia_teresa.,7_Oxia_Teresa_00002 7_oxia_teresa.,7_Oxia_Teresa_00003 7_oxia_teresa.,7_Oxia_Teresa_00004 7_oxia_teresa.,8_Mudstone_00001 8_mudstone.,8_Mudstone_00002 8_mudstone.,8_Mudstone_00003 8_mudstone.,8_Mudstone_00004 8_mudstone.,9_Congo_00001 9_congo.,9_Congo_00002 9_congo.,9_Congo_00003 9_congo.,9_Congo_00004 9_congo.,00001 Standard.,00002 Standard.,00003 Standard.,Standard_retest_00001 Standard_retest.,Standard_retest_00002 Standard_retest.,Standard_retest_00003 Standard_retest.
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,40,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,40,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,40,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,40,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,40,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,15,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,15,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,100,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,100,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,40,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,100,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,100,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,100,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,100,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,7,32,30 integration times; 10,10 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,7,32,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,7,32,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,7,32,30 integration times; 100,100 scans averaged","Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,7,32,30 integration times; 100,100 scans averaged"
Composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database of Origin,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples,ExoMars Mission Reference Samples
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
900.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
903.28574336,0.9970041084590704,0.9981518805550389,0.9979510772900337,0.9971973472615459,0.9876620798098015,0.9879885904582107,0.9916692094621532,0.9924050472236369,0.9980810782561955,0.9984228836960467,0.9987005454016125,0.9985000149036394,0.999812074388154,0.9996473931092388,1.0,0.9997292977194074,0.9996810661475571,0.9994610926613616,0.9997838027393187,0.9996620197884372,0.9984973703107185,0.9996279289410058,0.9989806648464341,0.9994324247026556,0.9996354691401527,0.9994456761951733,0.9973513505975116,0.9972507233825829,0.9969172840815262,0.9973989211732648,0.997839346475108,0.9974687479176578,0.9977857517625807,0.997563289758353,0.9992632007402352,0.9995101986131255,0.9996849536666909,0.9995893816430138,0.9985074947820293,0.9984657719691926,0.9986054577829432,0.9987663492600883,0.9981920571710958,0.997990566823742,0.9975948687758573,0.9977101780387397,0.9998569217699594,1.0,0.9998601932562619,1.0,1.0,0.9999208819379574
906.618278421,0.9944106659359482,0.9963336819866263,0.996232303061439,0.9943513299587641,0.9749959131406004,0.976148125409812,0.983279670896082,0.9845487893570973,0.996220938445258,0.9967629044969364,0.9971426042191265,0.9970178923800208,0.9994811674239449,0.9991372210545271,0.9998385417775947,0.9998290192906724,0.9992932379783405,0.9989537973476075,0.999536379372198,0.9993939433187564,0.9971554619564583,0.9993877843979394,0.9981707760298615,0.9986688186037366,0.9992045152757373,0.9987555718331024,0.9949116057893493,0.9949102228721924,0.9940057067955226,0.9949582299351155,0.9958004372419766,0.9952379656812631,0.9959132475899451,0.9953185871391863,0.998343822340987,0.9985688066678178,0.9988435566601394,0.9993982411787073,0.9969188893246945,0.9970015013471832,0.9976288609149472,0.997461643580967,0.9964774817037076,0.9963040325126855,0.9955469572572478,0.995631594006053,1.0,1.0,0.9998474329951367,0.9998903711620313,0.9998204770736938,0.9999383165773982
