,10_Otago_00001 10_otago,10_Otago_00002 10_otago,10_Otago_00003 10_otago,10_Otago_00004 10_otago,11_Iceland_00001 11_iceland,11_Iceland_00002 11_iceland,11_Iceland_00003 11_iceland,11_Iceland_00004 11_iceland,15_Oxia_Sophia_00001 15_oxia_sophia,15_Oxia_Sophia_00002 15_oxia_sophia,15_Oxia_Sophia_00003 15_oxia_sophia,15_Oxia_Sophia_00004 15_oxia_sophia,2_Atacama_Red_00001 2_atacama_red,2_Atacama_Red_00002 2_atacama_red,2_Atacama_Red_00003 2_atacama_red,2_Atacama_Red_00004 2_atacama_red,3_Sabtha_00001 3_sabtha,3_Sabtha_00002 3_sabtha,3_Sabtha_00003 3_sabtha,3_Sabtha_00004 3_sabtha,4_Watchet_Bay_00001 4_watchet_bay,4_Watchet_Bay_00002 4_watchet_bay,4_Watchet_Bay_00003 4_watchet_bay,4_Watchet_Bay_00004 4_watchet_bay,4_Watchet_Bay_00005 4_watchet_bay,4_Watchet_Bay_00006 4_watchet_bay,5_Granby_00001 5_granby,5_Granby_00002 5_granby,5_Granby_00003 5_granby,5_Granby_00004 5_granby,6_Hydrothermal_Clay_00001 6_hydrothermal_clay,6_Hydrothermal_Clay_00002 6_hydrothermal_clay,6_Hydrothermal_Clay_00003 6_hydrothermal_clay,6_Hydrothermal_Clay_00004 6_hydrothermal_clay,7_Oxia_Teresa_00001 7_oxia_teresa,7_Oxia_Teresa_00002 7_oxia_teresa,7_Oxia_Teresa_00003 7_oxia_teresa,7_Oxia_Teresa_00004 7_oxia_teresa,8_Mudstone_00001 8_mudstone,8_Mudstone_00002 8_mudstone,8_Mudstone_00003 8_mudstone,8_Mudstone_00004 8_mudstone,9_Congo_00001 9_congo,9_Congo_00002 9_congo,9_Congo_00003 9_congo,9_Congo_00004 9_congo,00001 Standard,00002 Standard,00003 Standard,Standard_retest_00001 Standard_retest,Standard_retest_00002 Standard_retest,Standard_retest_00003 Standard_retest
887.0,0.26506399999999997,0.311538,0.21850999999999998,0.13378199999999998,0.145096,0.13766,0.09557700000000001,0.094744,0.301122,0.309936,0.300481,0.30296500000000004,0.270673,0.247236,0.292788,0.297796,0.384054,0.497543,0.525,0.443189,0.357853,0.39326900000000004,0.399279,0.38221200000000005,0.336058,0.409375,0.150353,0.129167,0.09639400000000001,0.11439099999999999,0.322436,0.262179,0.22476,0.275721,0.352244,0.353365,0.33982399999999996,0.353686,0.09713100000000001,0.103878,0.09379799999999999,0.14144199999999998,0.105192,0.097228,0.110321,0.11221199999999999,1.0,1.000229,0.449656,0.9967950000000001,0.994277,0.9958790000000001
888.0,0.265141,0.31148,0.21848700000000001,0.133946,0.144565,0.137215,0.09537599999999999,0.094536,0.301066,0.309691,0.300425,0.303097,0.27078399999999997,0.24732700000000002,0.292811,0.297808,0.383977,0.49723799999999996,0.524866,0.443085,0.35780500000000004,0.393236,0.399183,0.382179,0.336009,0.40949399999999997,0.150337,0.129169,0.09633900000000001,0.11436600000000001,0.32237299999999997,0.261992,0.224745,0.275629,0.352116,0.353332,0.339678,0.353743,0.09706899999999999,0.10381299999999999,0.093741,0.141487,0.105209,0.097228,0.110222,0.112171,0.999792,1.000243,0.449723,0.996542,0.994201,0.9955970000000001
889.0,0.265052,0.311352,0.218476,0.133892,0.144201,0.136781,0.095261,0.094315,0.301195,0.309844,0.300309,0.302963,0.270797,0.247529,0.292943,0.297998,0.384033,0.497401,0.524999,0.442828,0.357825,0.39338700000000004,0.399125,0.382439,0.336278,0.409422,0.150415,0.129248,0.096323,0.114338,0.322258,0.261766,0.224745,0.275673,0.352207,0.353375,0.339833,0.353568,0.09709300000000001,0.103904,0.09366,0.141622,0.105247,0.09725400000000001,0.11025800000000001,0.11217700000000001,0.999556,1.0000310000000001,0.449898,0.9962430000000001,0.9941,0.995724
890.0,0.265005,0.31152,0.218453,0.133749,0.143712,0.136461,0.095088,0.09417500000000001,0.301195,0.30979,0.300441,0.302985,0.270873,0.24763100000000002,0.29307500000000003,0.298173,0.383966,0.497462,0.524959,0.442836,0.357836,0.393677,0.399109,0.382397,0.33632100000000004,0.409537,0.150312,0.129214,0.096331,0.114368,0.322088,0.261764,0.224652,0.275499,0.352246,0.35336100000000004,0.33994,0.353562,0.097096,0.103941,0.093675,0.14174799999999999,0.105291,0.097309,0.110277,0.112172,0.999691,0.999991,0.44986600000000004,0.996567,0.994402,0.9959439999999999
891.0,0.265,0.311518,0.21826399999999999,0.133672,0.143196,0.136097,0.094842,0.09409200000000001,0.30109600000000003,0.30976,0.300492,0.302952,0.270972,0.247761,0.293172,0.298406,0.383822,0.497338,0.524696,0.442671,0.3578,0.393673,0.398964,0.382222,0.336467,0.409536,0.150267,0.129033,0.096224,0.11439,0.321803,0.261567,0.22441199999999997,0.275356,0.352253,0.353242,0.339696,0.353591,0.09702999999999999,0.10388299999999999,0.093656,0.141704,0.105282,0.097271,0.11021,0.112164,0.9997469999999999,1.000016,0.449894,0.9963960000000001,0.9945440000000001,0.995667
892.0,0.265046,0.31143699999999996,0.21820599999999998,0.133653,0.14271699999999998,0.135626,0.09458899999999999,0.093911,0.301069,0.309733,0.300464,0.302836,0.271196,0.247855,0.293481,0.29864,0.383832,0.497391,0.524517,0.442466,0.35786900000000005,0.39354700000000004,0.39879600000000004,0.382312,0.336678,0.409572,0.150334,0.128935,0.09612899999999999,0.114368,0.32165900000000003,0.26133500000000004,0.224225,0.275287,0.352308,0.35320599999999996,0.339519,0.35363700000000003,0.096973,0.10383800000000001,0.093644,0.14164,0.105276,0.09718199999999999,0.110148,0.112055,1.000026,0.999867,0.449919,0.9962380000000001,0.994338,0.9954909999999999
893.0,0.26516300000000004,0.311482,0.218265,0.13367,0.142289,0.135179,0.094358,0.093691,0.30119399999999996,0.30972,0.30044,0.302889,0.271521,0.24796700000000002,0.293914,0.298927,0.38394799999999996,0.497654,0.524622,0.44250300000000004,0.35800800000000005,0.393718,0.398885,0.382519,0.336683,0.409827,0.15037599999999998,0.128895,0.096141,0.11438000000000001,0.321727,0.261415,0.22422899999999998,0.275281,0.352325,0.353346,0.33962800000000004,0.35377000000000003,0.09697599999999999,0.103891,0.093666,0.14163,0.10533799999999999,0.097178,0.11013099999999999,0.111948,0.9999089999999999,0.9999020000000001,0.450088,0.99641,0.994465,0.99586
894.0,0.265279,0.311533,0.218227,0.133674,0.14188499999999998,0.13482,0.09416000000000001,0.09352600000000001,0.301305,0.309737,0.300325,0.303072,0.271799,0.24816400000000002,0.294171,0.299291,0.383913,0.49768799999999996,0.5248149999999999,0.442618,0.35808,0.394048,0.399165,0.382559,0.33664499999999997,0.409995,0.150369,0.128829,0.09617300000000001,0.114439,0.32173,0.261528,0.224279,0.275324,0.35227400000000003,0.353384,0.339688,0.353788,0.09698999999999999,0.103978,0.09367,0.141531,0.105409,0.09725,0.110053,0.11196099999999999,0.999503,1.000268,0.450508,0.9964660000000001,0.9950279999999999,0.996207
895.0,0.265277,0.31151599999999996,0.218324,0.13359400000000002,0.141447,0.13441,0.094017,0.09324500000000001,0.301253,0.309589,0.300174,0.302993,0.27203700000000003,0.24828499999999998,0.294339,0.299502,0.38380200000000003,0.49749699999999997,0.524875,0.44255099999999997,0.358193,0.394071,0.39927399999999996,0.38277,0.33693199999999995,0.40984200000000004,0.150429,0.128939,0.096204,0.114428,0.321604,0.261242,0.224247,0.275274,0.35233800000000004,0.353179,0.33965,0.35348100000000005,0.096999,0.10400999999999999,0.093712,0.141391,0.105418,0.097262,0.109901,0.111922,1.0005,1.0002769999999999,0.450722,0.9966809999999999,0.994995,0.996187
896.0,0.265288,0.311513,0.21826399999999999,0.13369,0.14098,0.13400700000000001,0.093791,0.093057,0.301286,0.309592,0.300273,0.302945,0.27226,0.24850999999999998,0.294346,0.299726,0.383838,0.49758600000000003,0.52488,0.44244500000000003,0.35824,0.39408299999999996,0.39939,0.38301999999999997,0.33703299999999997,0.409854,0.150473,0.128829,0.09625299999999999,0.11446400000000001,0.321565,0.261212,0.22426100000000002,0.275179,0.352337,0.353321,0.33970300000000003,0.35350000000000004,0.09701900000000001,0.104023,0.093848,0.141396,0.10549,0.09725099999999999,0.10986499999999999,0.11196999999999999,1.000256,1.000458,0.45088900000000004,0.996661,0.995012,0.9962009999999999
897.0,0.26532,0.3116,0.218169,0.133763,0.140431,0.133597,0.093621,0.092825,0.301315,0.309526,0.299988,0.302974,0.27265999999999996,0.24864899999999998,0.294431,0.299947,0.383839,0.49740900000000005,0.525166,0.442476,0.358377,0.394455,0.39943100000000004,0.383092,0.336979,0.409799,0.150417,0.128953,0.096192,0.114488,0.321552,0.261256,0.224307,0.275273,0.352488,0.35315199999999997,0.339882,0.353649,0.097005,0.104071,0.09383599999999999,0.141393,0.105564,0.09725400000000001,0.109777,0.11199999999999999,1.000694,1.0,0.450925,0.9964449999999999,0.9950239999999999,0.996209
898.0,0.265202,0.311692,0.21819,0.133635,0.139977,0.133275,0.093369,0.092637,0.301335,0.309622,0.299935,0.30283899999999997,0.272804,0.24868500000000002,0.294644,0.300116,0.383674,0.497405,0.524732,0.442046,0.35843899999999995,0.394743,0.399402,0.383147,0.336976,0.409926,0.150533,0.12896000000000002,0.096212,0.114482,0.32155500000000004,0.261222,0.224326,0.27530899999999997,0.352416,0.35322400000000004,0.33996299999999996,0.353732,0.096993,0.104028,0.093871,0.141486,0.105546,0.09728999999999999,0.10969799999999999,0.111986,0.999152,0.9997750000000001,0.451217,0.996652,0.9952589999999999,0.9962019999999999
899.0,0.265188,0.311799,0.218169,0.133765,0.139555,0.13278800000000002,0.093133,0.092364,0.301403,0.309641,0.299831,0.302823,0.273034,0.248931,0.294845,0.300361,0.38352400000000003,0.497198,0.524517,0.44197200000000003,0.35875799999999997,0.39492,0.39956,0.383358,0.337179,0.409974,0.150656,0.128911,0.096203,0.11453799999999999,0.321812,0.261137,0.224282,0.275258,0.352273,0.35330599999999995,0.34001600000000004,0.353594,0.09698000000000001,0.103954,0.093919,0.141504,0.105602,0.097258,0.109666,0.111871,0.99941,0.999759,0.451202,0.997122,0.995082,0.996424
900.0,0.265086,0.311469,0.21808599999999997,0.133776,0.13911199999999999,0.13233599999999998,0.09280300000000001,0.09216200000000001,0.301277,0.309442,0.299877,0.302666,0.273137,0.24911000000000003,0.294953,0.30052,0.383179,0.496693,0.5243829999999999,0.44191,0.35885399999999995,0.39500100000000005,0.39974699999999996,0.383493,0.33716999999999997,0.410011,0.150613,0.128871,0.096212,0.11453799999999999,0.32170299999999996,0.26093299999999997,0.22414699999999999,0.275007,0.35210299999999994,0.353373,0.34012,0.353576,0.097028,0.10394,0.093927,0.141396,0.10555999999999999,0.09721199999999999,0.10962899999999999,0.11184799999999999,1.000087,0.9997450000000001,0.451279,0.9967900000000001,0.994612,0.996254
901.0,0.264922,0.311571,0.218022,0.133739,0.138576,0.131825,0.09257,0.091997,0.301137,0.309452,0.299864,0.302795,0.273331,0.249314,0.29533000000000004,0.300668,0.38311799999999996,0.496534,0.524357,0.44174599999999997,0.358708,0.39508200000000004,0.39969299999999996,0.383544,0.33720700000000003,0.41009,0.150697,0.12884299999999999,0.096191,0.11457200000000001,0.321652,0.260803,0.224041,0.275108,0.35219700000000004,0.35368299999999997,0.340289,0.353586,0.097076,0.104009,0.09395300000000001,0.141364,0.1056,0.097144,0.109603,0.11187699999999999,1.000367,0.999921,0.451352,0.9966330000000001,0.9946590000000001,0.996183
902.0,0.264853,0.31162,0.218126,0.133713,0.138058,0.13131299999999999,0.09235099999999999,0.09177400000000001,0.301095,0.309469,0.299819,0.302776,0.273524,0.249471,0.295761,0.300771,0.383022,0.496393,0.5243869999999999,0.44159,0.358603,0.39520000000000005,0.399696,0.383525,0.337333,0.41021,0.150686,0.12878299999999998,0.096209,0.11457,0.321594,0.260633,0.22403800000000001,0.27514299999999997,0.352271,0.353613,0.340422,0.353708,0.097111,0.104021,0.09389099999999999,0.141399,0.105528,0.097126,0.109639,0.111869,0.999417,1.00003,0.451519,0.9965999999999999,0.994555,0.996001
903.0,0.264888,0.311621,0.21818,0.133756,0.137675,0.13088,0.09212,0.09158899999999999,0.301085,0.309526,0.299931,0.30276,0.273716,0.24964200000000003,0.296134,0.301032,0.382958,0.49625300000000006,0.5245960000000001,0.441597,0.358701,0.395351,0.399769,0.38362900000000005,0.33752299999999996,0.41049199999999997,0.15066000000000002,0.128746,0.096242,0.11459799999999999,0.32149,0.260585,0.224116,0.275076,0.35237,0.35349200000000003,0.340462,0.353865,0.097155,0.10401300000000001,0.093892,0.141425,0.10553599999999999,0.097181,0.109649,0.11188100000000001,0.998907,0.9998779999999999,0.45163400000000004,0.996838,0.9946269999999999,0.995959
904.0,0.264968,0.311817,0.21814,0.133772,0.137287,0.130513,0.091905,0.091428,0.30108599999999996,0.309557,0.300039,0.302888,0.273878,0.249781,0.296462,0.3014,0.382937,0.496116,0.524663,0.44155,0.358703,0.395448,0.399769,0.383773,0.337667,0.410684,0.150736,0.128736,0.096275,0.11458700000000001,0.32143,0.260722,0.224247,0.27506,0.352472,0.353606,0.340458,0.353927,0.09716200000000001,0.104022,0.09393800000000001,0.141449,0.105631,0.097244,0.109607,0.111884,0.999479,0.9998090000000001,0.45175800000000005,0.997042,0.9949129999999999,0.9962099999999999
905.0,0.264999,0.311921,0.218192,0.133664,0.13672399999999998,0.130125,0.091679,0.091225,0.301048,0.309423,0.29997599999999996,0.302899,0.27397099999999996,0.249774,0.296634,0.301645,0.38276400000000005,0.495947,0.524349,0.441313,0.358525,0.39549100000000004,0.399815,0.383738,0.337712,0.41066899999999995,0.150777,0.128685,0.096314,0.11451399999999999,0.321395,0.260791,0.224327,0.27494399999999997,0.35236199999999995,0.35359,0.340396,0.35405099999999995,0.09711299999999999,0.104021,0.09392099999999999,0.141487,0.105588,0.097258,0.109586,0.11181200000000001,0.999771,1.000082,0.451984,0.996647,0.994762,0.9961960000000001
906.0,0.264922,0.311751,0.21826299999999998,0.13359400000000002,0.136125,0.12967,0.09141099999999999,0.09108100000000001,0.300873,0.309446,0.300027,0.302908,0.27414,0.249774,0.29663,0.30188,0.382619,0.496039,0.524276,0.441262,0.35864199999999996,0.395704,0.40000100000000005,0.383714,0.337845,0.41088299999999994,0.150783,0.128649,0.09633599999999999,0.114639,0.321357,0.260749,0.224243,0.274743,0.352313,0.353468,0.34024099999999996,0.35438499999999995,0.097103,0.104076,0.094041,0.14150600000000002,0.105586,0.097239,0.109595,0.11178,0.999869,1.000226,0.45201099999999994,0.99631,0.994495,0.9957699999999999
907.0,0.26499500000000004,0.31174,0.21841000000000002,0.133653,0.135596,0.129216,0.091114,0.090838,0.300862,0.309625,0.30008199999999996,0.30295300000000003,0.274333,0.24991599999999997,0.296784,0.302085,0.382432,0.49589599999999995,0.524371,0.44127299999999997,0.358752,0.396054,0.40001,0.38374600000000003,0.338022,0.410862,0.150908,0.12873400000000002,0.096443,0.11467000000000001,0.32143099999999997,0.260859,0.224251,0.274812,0.35267699999999996,0.35344299999999995,0.340323,0.35442300000000004,0.09713200000000001,0.104129,0.09414099999999999,0.141564,0.105612,0.097227,0.10964,0.11178800000000001,1.000559,0.9999800000000001,0.452115,0.9967189999999999,0.994478,0.9959749999999999
908.0,0.264978,0.311825,0.21849900000000003,0.133633,0.135128,0.128725,0.09102700000000001,0.09073,0.300737,0.309579,0.30003399999999997,0.302612,0.274517,0.250201,0.297045,0.302428,0.382334,0.495616,0.5241020000000001,0.44126899999999997,0.358861,0.396062,0.400066,0.38351100000000005,0.33802,0.410973,0.150914,0.128849,0.096431,0.114603,0.32138300000000003,0.260859,0.22426400000000002,0.27499199999999996,0.35268,0.353485,0.34043100000000004,0.35446500000000003,0.097158,0.10422100000000001,0.09417199999999999,0.14160899999999998,0.105641,0.097189,0.109669,0.11181800000000001,1.000423,1.0000149999999999,0.452202,0.9963930000000001,0.994638,0.995908
909.0,0.264948,0.311736,0.218523,0.133617,0.134705,0.128285,0.090782,0.090311,0.300764,0.309378,0.30022,0.302759,0.27465,0.250259,0.29709199999999997,0.302759,0.38191699999999995,0.49556100000000003,0.523972,0.441127,0.358977,0.39642499999999997,0.400052,0.383459,0.338031,0.410933,0.151026,0.128865,0.09651300000000002,0.114521,0.321256,0.260687,0.224326,0.274832,0.35263,0.353446,0.340298,0.354352,0.097111,0.10413,0.094119,0.14156000000000002,0.105725,0.097111,0.109534,0.111746,0.9992409999999999,1.000259,0.452658,0.996114,0.99456,0.9958549999999999
910.0,0.26513200000000003,0.311793,0.218436,0.133525,0.134303,0.127825,0.090548,0.09017599999999999,0.300767,0.309334,0.300296,0.302699,0.274881,0.250454,0.297246,0.303168,0.382021,0.49574399999999996,0.523985,0.44103499999999995,0.359276,0.39664900000000003,0.399973,0.38366100000000003,0.338299,0.41092100000000004,0.151077,0.128884,0.09655699999999999,0.114611,0.321373,0.260646,0.224296,0.274982,0.35267200000000004,0.353662,0.340426,0.354598,0.097181,0.10423,0.094218,0.141474,0.10579599999999999,0.097165,0.109665,0.111796,1.000194,1.000264,0.452835,0.996546,0.994743,0.9958089999999999
911.0,0.265184,0.312002,0.218622,0.13356099999999999,0.133788,0.12734600000000001,0.090276,0.089848,0.300639,0.309087,0.300355,0.302701,0.275044,0.250471,0.297458,0.30339700000000003,0.38197400000000004,0.49561700000000003,0.523676,0.440792,0.359341,0.39663600000000004,0.40008000000000005,0.383902,0.338232,0.411013,0.151105,0.128829,0.096603,0.114619,0.32130200000000003,0.26046600000000003,0.224064,0.275037,0.35253500000000004,0.35382399999999997,0.340305,0.354352,0.097202,0.104214,0.094198,0.141562,0.105815,0.097166,0.109513,0.11184100000000001,1.000274,1.000267,0.452815,0.9967950000000001,0.994447,0.9954909999999999
912.0,0.265473,0.312213,0.218705,0.133558,0.133248,0.12684499999999999,0.09011100000000001,0.089554,0.300863,0.309075,0.300334,0.302628,0.275198,0.250674,0.29776199999999997,0.303706,0.38204099999999996,0.495454,0.52361,0.440936,0.35941,0.39685299999999996,0.400212,0.38394399999999995,0.338264,0.411232,0.151065,0.128811,0.09656599999999999,0.114744,0.32143,0.26046800000000003,0.224022,0.274866,0.352638,0.353722,0.340204,0.35421100000000005,0.097204,0.10427,0.094199,0.141499,0.105891,0.09718,0.10948600000000001,0.11180899999999999,1.000312,1.0002710000000001,0.453278,0.996507,0.9942759999999999,0.9956050000000001
913.0,0.265554,0.312153,0.218763,0.133716,0.13283799999999998,0.12651500000000002,0.08984600000000001,0.08931499999999999,0.301005,0.309193,0.300479,0.302714,0.275301,0.250959,0.297985,0.303935,0.38215699999999997,0.495786,0.523735,0.44073300000000004,0.359383,0.39703299999999997,0.400259,0.38419600000000004,0.338594,0.411287,0.151251,0.128839,0.096595,0.11483399999999999,0.321532,0.26050799999999996,0.224242,0.274927,0.352716,0.35382800000000003,0.340314,0.354018,0.097261,0.10436999999999999,0.094221,0.14147600000000002,0.105912,0.097264,0.109385,0.11179399999999999,0.9995449999999999,1.000316,0.45344700000000004,0.996626,0.9946639999999999,0.995815
914.0,0.26553,0.3122,0.21877500000000003,0.133799,0.1324,0.125992,0.089558,0.089135,0.30079999999999996,0.30927499999999997,0.300454,0.302686,0.27542300000000003,0.251058,0.298171,0.304172,0.38195300000000004,0.49560699999999996,0.523523,0.440532,0.35956299999999997,0.397082,0.40023899999999996,0.38443600000000006,0.338609,0.411442,0.151369,0.128815,0.09666499999999999,0.114949,0.32136899999999996,0.260516,0.22427399999999997,0.274835,0.35261000000000003,0.353929,0.340057,0.353929,0.097244,0.104296,0.094277,0.141431,0.105902,0.09733599999999999,0.10935700000000001,0.111837,1.000405,0.9999039999999999,0.453405,0.996678,0.9944970000000001,0.995815
915.0,0.26558,0.312313,0.21870799999999999,0.133831,0.131802,0.125559,0.089338,0.088914,0.300823,0.309309,0.300463,0.302881,0.275594,0.251257,0.298415,0.304375,0.381752,0.495359,0.523584,0.44042499999999996,0.35971,0.397281,0.40048,0.38453400000000004,0.33860300000000004,0.411481,0.151464,0.128821,0.09670999999999999,0.114968,0.321475,0.260445,0.22415,0.2749,0.35259,0.353918,0.34003500000000003,0.35405200000000003,0.09719900000000001,0.10432999999999999,0.094228,0.141454,0.105901,0.09740700000000001,0.109386,0.111814,1.000332,0.999652,0.453579,0.996366,0.9944710000000001,0.995709
916.0,0.265798,0.312336,0.21874500000000002,0.133928,0.131355,0.125101,0.089142,0.088738,0.300831,0.309397,0.300469,0.303012,0.275862,0.251521,0.298711,0.304642,0.38181600000000004,0.495241,0.523861,0.440315,0.35985500000000004,0.397551,0.40068600000000004,0.38460700000000003,0.338746,0.41151400000000005,0.151435,0.128829,0.09670400000000001,0.114968,0.32158299999999995,0.260463,0.224132,0.275005,0.35259700000000005,0.35401699999999997,0.340396,0.354118,0.09724500000000001,0.104312,0.094155,0.14153000000000002,0.105838,0.097484,0.10933899999999999,0.111854,1.000246,1.000035,0.453739,0.996577,0.9945269999999999,0.995852
917.0,0.265886,0.31221,0.218742,0.133976,0.130947,0.124655,0.088887,0.088529,0.300577,0.309382,0.300326,0.30295,0.27603,0.251656,0.29887,0.304805,0.381728,0.495274,0.523677,0.440111,0.359927,0.397605,0.400679,0.384492,0.33891899999999997,0.411568,0.151411,0.12879,0.096693,0.115,0.32136600000000004,0.260335,0.224151,0.275071,0.35245800000000005,0.354082,0.340657,0.354068,0.097288,0.10423299999999999,0.094081,0.141558,0.10575100000000001,0.097512,0.10936,0.111859,1.000743,1.000335,0.453921,0.9965080000000001,0.9942,0.995583
918.0,0.265911,0.312317,0.21877400000000002,0.133874,0.130447,0.124262,0.08870900000000001,0.08828,0.30054,0.309427,0.300301,0.303098,0.276266,0.251898,0.299113,0.304977,0.381616,0.495413,0.523397,0.440097,0.36005299999999996,0.397632,0.40088,0.384579,0.339101,0.411597,0.151479,0.128716,0.096707,0.115027,0.321445,0.260325,0.224352,0.275224,0.352577,0.3542,0.340706,0.35418999999999995,0.097308,0.104228,0.094095,0.141546,0.10584199999999999,0.09756000000000001,0.10943699999999999,0.11185600000000001,1.000928,1.0003149999999998,0.454034,0.99616,0.9943129999999999,0.9953839999999999
919.0,0.266027,0.312637,0.218914,0.13386699999999999,0.129966,0.12380200000000001,0.088545,0.088038,0.30078900000000003,0.309682,0.300426,0.303265,0.276605,0.252333,0.299487,0.305156,0.38171999999999995,0.495471,0.523588,0.440293,0.360282,0.397768,0.40119900000000003,0.385002,0.33925400000000006,0.411687,0.151471,0.128694,0.096769,0.11505000000000001,0.321785,0.260592,0.22467199999999998,0.275323,0.352914,0.354337,0.340713,0.354395,0.097366,0.10422000000000001,0.094178,0.141524,0.105961,0.097622,0.109513,0.111897,1.000713,1.000218,0.453971,0.9963460000000001,0.994753,0.995638
920.0,0.266003,0.31255099999999997,0.218837,0.134027,0.129491,0.12336499999999999,0.088248,0.08773099999999999,0.300793,0.30974799999999997,0.300324,0.303081,0.27667,0.252552,0.299585,0.30509000000000003,0.381596,0.49539,0.523643,0.44016599999999995,0.360259,0.39785400000000004,0.401237,0.38506,0.33933199999999997,0.411754,0.15147,0.12872899999999998,0.09684699999999999,0.114999,0.32162999999999997,0.26054099999999997,0.224612,0.275219,0.35279200000000005,0.354082,0.34072600000000003,0.354393,0.097392,0.10418100000000001,0.09415,0.14146,0.10589,0.09757500000000001,0.109597,0.11178300000000001,1.000202,0.999896,0.45409999999999995,0.996155,0.9942409999999999,0.9952540000000001
921.0,0.266036,0.312503,0.21874400000000002,0.13396,0.129109,0.122895,0.08814,0.08753899999999999,0.300761,0.309655,0.300177,0.30308,0.276866,0.252624,0.299721,0.30531600000000003,0.38148499999999996,0.49506500000000003,0.523312,0.43998600000000004,0.36027299999999995,0.39819000000000004,0.40147700000000003,0.38518,0.33941299999999996,0.411755,0.151621,0.12864,0.096838,0.114884,0.321608,0.260583,0.22451100000000002,0.27508099999999996,0.35269799999999996,0.35385300000000003,0.340756,0.35443399999999997,0.09743700000000001,0.10417299999999999,0.094232,0.14136200000000002,0.105965,0.097581,0.109459,0.111722,0.9999290000000001,0.9997060000000001,0.454148,0.995866,0.9939969999999999,0.9952970000000001
922.0,0.266007,0.312635,0.21864699999999998,0.133917,0.128663,0.12243399999999999,0.087788,0.08738699999999999,0.300709,0.309382,0.300018,0.30289699999999997,0.277103,0.252811,0.29978899999999997,0.305473,0.38154400000000005,0.49499099999999996,0.523049,0.44005099999999997,0.360298,0.398478,0.40145699999999995,0.38522100000000004,0.339484,0.411821,0.151616,0.128557,0.09685,0.11497099999999999,0.32142400000000004,0.26061,0.224565,0.275159,0.352858,0.353665,0.340833,0.35422400000000004,0.097538,0.10425100000000001,0.094237,0.141282,0.10588800000000001,0.09762,0.109558,0.111705,0.999693,1.0000660000000001,0.45414099999999996,0.9960800000000001,0.994411,0.9957290000000001
923.0,0.266206,0.31266700000000003,0.218614,0.133978,0.128199,0.121931,0.087625,0.087212,0.300622,0.309259,0.299893,0.30295,0.277209,0.25291399999999997,0.299983,0.305773,0.38148699999999997,0.494929,0.523173,0.439908,0.360456,0.39850499999999994,0.40163899999999997,0.385387,0.339477,0.411704,0.151677,0.12853199999999998,0.09692600000000001,0.11498699999999999,0.321575,0.260569,0.224635,0.275321,0.352829,0.353885,0.34063499999999997,0.35435099999999997,0.09758499999999999,0.10425599999999999,0.09428800000000001,0.141366,0.105918,0.09762499999999999,0.10956400000000001,0.111767,1.000059,1.000349,0.45433999999999997,0.995997,0.9940000000000001,0.995318
924.0,0.266386,0.31274799999999997,0.218796,0.13424899999999998,0.127695,0.121547,0.087305,0.087019,0.30098800000000003,0.309261,0.29991,0.303021,0.277455,0.253045,0.30029,0.305928,0.381457,0.495199,0.5232209999999999,0.44010599999999994,0.360956,0.399166,0.401794,0.385807,0.33968000000000004,0.411999,0.151937,0.128618,0.09691000000000001,0.115181,0.321757,0.260611,0.224614,0.275268,0.353119,0.354093,0.340745,0.354553,0.097665,0.104348,0.09441700000000001,0.141444,0.105967,0.097605,0.109526,0.11173400000000001,1.000638,1.000324,0.45453000000000005,0.996247,0.9944769999999999,0.995514
925.0,0.266449,0.312606,0.218688,0.134323,0.127214,0.121044,0.087179,0.08683400000000001,0.300882,0.30915,0.300141,0.30297999999999997,0.277742,0.25305900000000003,0.300635,0.30625,0.3811,0.495299,0.523272,0.439845,0.36098399999999997,0.399118,0.40183399999999997,0.38554299999999997,0.33975700000000003,0.41183,0.15204499999999999,0.128695,0.096855,0.11512,0.321492,0.260649,0.224489,0.275335,0.352839,0.35407299999999997,0.340621,0.354196,0.097719,0.104432,0.094362,0.141432,0.105839,0.09752100000000001,0.10949199999999999,0.111664,0.999656,1.0,0.454555,0.9964740000000001,0.993653,0.9950629999999999
926.0,0.266594,0.312804,0.21892499999999998,0.134465,0.12689899999999998,0.120754,0.086935,0.086478,0.30099699999999996,0.309376,0.300236,0.30328299999999997,0.27808299999999997,0.253137,0.301061,0.306837,0.38122999999999996,0.495611,0.523709,0.44000700000000004,0.361552,0.399764,0.40204900000000005,0.385927,0.339971,0.412332,0.152035,0.128778,0.09696400000000001,0.11529600000000001,0.32156300000000004,0.26088100000000003,0.224637,0.275354,0.353174,0.35418900000000003,0.340733,0.35457,0.09772600000000001,0.10455600000000001,0.09445,0.141523,0.106028,0.09762399999999999,0.109431,0.111817,1.0,1.0,0.454301,0.996736,0.994559,0.996373
